文件,RMU,RMU框ID,范围,设备角色,XML元素,元素ID,设备名,key_name,旋转角度,问题类型,不符合原因,当前devref,标准devref,当前尺寸,标准尺寸,当前位置,标准建议位置,关联连接线
JED-NTH-ABH-12.sln.pic.g,30903,2000236,SMART,BREAKER,CBreakerDis,117000238,Q1,Q1,0,SMART/NORMAL 图元变体错误 + 图元几何不符合标准,"当前 RMU 为 SMART，但设备使用了 NORMAL 图元；当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，标准要求=#Circuit_Breaker_SMART.zwk.icn.g:Circuit_Breaker_SMART。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2070, 2160) 调整为 (2064, 2158)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_SMART.zwk.icn.g:Circuit_Breaker_SMART,28×28,30×30,"(2070, 2160)","(2064, 2158)","34000247, 34000258"
JED-NTH-ABH-12.sln.pic.g,30815,2000372,NORMAL,BREAKER,CBreakerDis,117000374,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (1442, 2541) 调整为 (1436, 2539)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(1442, 2541)","(1436, 2539)","34000383, 34000394"
JED-NTH-ABH-12.sln.pic.g,30842,2000267,NORMAL,BREAKER,CBreakerDis,117000269,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2445, 2160) 调整为 (2439, 2158)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2445, 2160)","(2439, 2158)","34000278, 34000289"
JED-NTH-ABH-12.sln.pic.g,30910,2000297,NORMAL,BREAKER,CBreakerDis,117000299,Q1,dms_cb_device JED NTH ABH 12 30910 Q1 id,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2799, 2159) 调整为 (2793, 2157)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2799, 2159)","(2793, 2157)","34000308, 34000319"
JED-NTH-ABH-12.sln.pic.g,30895,2000551,NORMAL,BREAKER,CBreakerDis,117000553,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (1801, 3055) 调整为 (1795, 3053)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(1801, 3055)","(1795, 3053)","34000562, 34000573"
JED-NTH-ABH-12.sln.pic.g,30874,2000581,NORMAL,BREAKER,CBreakerDis,117000583,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2155, 3054) 调整为 (2149, 3052)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2155, 3054)","(2149, 3052)","34000592, 34000603"
JED-NTH-ABH-12.sln.pic.g,30863,2000613,NORMAL,BREAKER,CBreakerDis,117000615,Q1,dms_cb_device JED NTH ABH 12 30863 Q1 id,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2866, 3057) 调整为 (2860, 3055)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2866, 3057)","(2860, 3055)","34000624, 34000635"
JED-NTH-ABH-12.sln.pic.g,30886,2000752,NORMAL,BREAKER,CBreakerDis,117000754,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (1437, 3590) 调整为 (1431, 3588)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(1437, 3590)","(1431, 3588)","34001709, 34001707"
JED-NTH-ABH-12.sln.pic.g,30818,2000781,NORMAL,BREAKER,CBreakerDis,117000783,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (1791, 3589) 调整为 (1785, 3587)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(1791, 3589)","(1785, 3587)","34001716, 34001719"
JED-NTH-ABH-12.sln.pic.g,30828,2000811,NORMAL,BREAKER,CBreakerDis,117000813,Q1,Q1,0,标准图元引用不一致 + 图元几何不符合标准,"当前 devref=#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART，与 ACTIVE 标准要求的 devref=#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART 不一致。 尺寸当前 28×28，标准 30×30；为保持电气锚点不动，图元位置应由 (2148, 3589) 调整为 (2142, 3587)；旋转=0°。",#Circuit_Breaker_NON-SMART.zwk.icn.g:Circuit_Breaker_NON-SMART,#Circuit_Breaker_NO-SMART.zwk.icn.g:Circuit_Breaker_NO-SMART,28×28,30×30,"(2148, 3589)","(2142, 3587)","34001751, 34001725"
